user,age,housing,credit_score,deposits,withdrawal,purchases_partners,purchases,cc_taken,cc_recommended,cc_disliked,cc_liked,cc_application_begin,app_downloaded,web_user,app_web_user,ios_user,android_user,registered_phones,payment_type,waiting_4_loan,cancelled_loan,received_loan,rejected_loan,zodiac_sign,left_for_two_month_plus,left_for_one_month,rewards_earned,reward_rate,is_referred
50488,20.0,R,375.0,0,0,29,0,0,56,0,0,8,1,0,0,0,1,2,Bi-Weekly,0,0,0,0,Virgo,0,0,11.0,0.4400000000000001,1
53603,38.0,na,544.0,16,1,28,15,0,41,0,0,5,1,0,0,0,1,0,Monthly,0,0,0,0,Sagittarius,0,0,20.0,0.67,1
42289,40.0,R,566.0,0,0,119,0,0,218,0,0,29,1,1,1,0,1,0,na,0,0,0,0,Aries,0,0,19.0,0.63,1
4185,34.0,na,547.0,0,0,0,0,0,196,0,0,71,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Scorpio,0,0,62.0,2.07,0
12436,24.0,O,488.0,0,0,38,0,0,78,0,0,7,1,1,1,0,1,0,Weekly,0,0,0,0,Scorpio,0,0,22.0,0.73,1
19988,25.0,R,539.0,0,0,0,0,2,207,1,0,7,1,1,1,0,1,0,Weekly,0,0,0,0,Cancer,0,0,60.0,2.0,1
17437,52.0,R,578.0,0,0,0,0,0,229,0,0,38,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Pisces,1,0,66.0,2.2,0
5743,27.0,O,652.0,0,0,0,0,0,288,0,0,12,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,na,0,0,79.0,2.63,0
22154,39.0,R,519.0,0,0,6,0,0,69,0,0,3,1,1,1,0,1,0,Monthly,0,0,0,0,Capricorn,0,0,17.0,0.5700000000000001,1
24158,25.0,R,521.0,0,0,74,0,0,193,0,0,2,1,0,0,0,1,0,Semi-Monthly,0,0,0,0,Aquarius,1,0,37.0,1.23,0
53619,22.0,na,597.0,0,0,13,0,0,13,0,0,0,1,1,1,0,1,2,Semi-Monthly,0,0,0,0,Pisces,0,0,10.0,0.33,0
8456,46.0,na,471.0,10,1,0,9,4,282,0,0,71,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Cancer,0,0,63.0,2.1,1
34913,26.0,R,,26,6,80,26,0,164,0,0,10,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,45.0,1.5,1
36364,29.0,R,563.0,1,0,60,1,0,120,0,0,6,1,1,1,0,1,2,na,0,0,0,0,Libra,0,0,21.0,0.7,1
67687,25.0,R,,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,na,0,0,0,0,Leo,0,0,,0.0,0
54852,33.0,na,,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,na,0,0,0,0,Scorpio,0,0,1.0,0.5,0
53665,40.0,R,563.0,0,0,0,0,0,186,0,0,21,1,1,1,1,0,0,Monthly,0,1,0,0,Cancer,0,0,59.0,1.97,0
7136,72.0,O,574.0,0,0,0,0,1,2,0,0,1,1,1,1,0,1,0,Monthly,0,1,0,1,Scorpio,0,0,1.0,0.03,0
30574,32.0,na,546.0,0,0,48,0,0,79,0,0,2,1,0,0,0,1,0,na,0,0,0,0,Leo,0,0,43.0,1.4300000000000002,1
43618,31.0,O,643.0,0,0,41,0,0,89,0,0,10,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Capricorn,0,0,18.0,0.6,1
55430,44.0,na,,0,0,0,0,0,20,0,0,0,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Pisces,0,0,8.0,0.27,0
52727,38.0,na,520.0,1,1,50,1,0,50,0,0,0,1,0,0,0,1,0,na,0,0,0,0,Sagittarius,0,0,8.0,2.67,0
60357,59.0,na,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Bi-Weekly,0,0,0,0,Aquarius,1,0,,0.0,0
59391,28.0,na,,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,Weekly,0,0,0,0,Pisces,1,0,1.0,0.03,0
8214,24.0,R,515.0,0,0,71,0,0,242,0,0,6,1,0,0,0,1,0,Semi-Monthly,0,0,0,0,Pisces,0,0,47.0,1.5699999999999998,0
17752,33.0,R,582.0,0,0,77,0,0,209,0,0,15,1,0,0,0,1,0,na,0,0,0,0,Leo,0,0,48.0,1.6,0
37840,20.0,R,590.0,0,0,9,0,0,13,0,0,1,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Cancer,0,0,4.0,0.13,0
40809,26.0,R,500.0,0,0,64,0,0,127,0,0,2,1,0,0,1,1,2,Bi-Weekly,0,0,0,0,Virgo,1,0,36.0,1.2,1
14118,27.0,na,477.0,9,1,53,9,0,120,0,0,6,1,1,1,0,1,0,na,0,0,0,0,Taurus,0,0,35.0,1.17,1
45017,29.0,na,,0,0,69,0,0,143,0,0,2,1,0,0,1,0,0,Semi-Monthly,0,0,0,0,Libra,0,0,33.0,1.1,0
13677,45.0,O,609.0,0,0,0,0,0,91,1,0,10,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,30.0,1.0,0
52430,31.0,R,546.0,6,2,38,6,0,55,0,0,6,1,1,1,1,0,0,Weekly,0,0,0,0,Aquarius,0,0,6.0,0.2,0
1458,30.0,na,,0,0,20,0,0,54,0,0,7,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Pisces,0,0,17.0,0.5700000000000001,0
13306,19.0,na,526.0,0,0,0,0,0,26,0,0,4,1,1,1,1,1,2,Bi-Weekly,0,0,0,0,na,0,0,8.0,0.27,0
9109,29.0,R,494.0,0,0,3,0,0,163,0,0,24,1,0,0,0,1,0,na,0,0,0,0,Scorpio,0,0,55.0,1.83,0
66589,26.0,na,512.0,0,0,9,0,0,40,0,0,0,1,0,0,1,0,0,Weekly,0,0,0,0,Pisces,0,0,13.0,0.43,1
43859,30.0,R,573.0,1,1,0,1,0,61,0,0,2,1,1,1,0,1,3,Weekly,0,0,0,0,na,0,0,20.0,0.67,0
59368,38.0,na,506.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,,0.0,0
44052,27.0,R,631.0,0,0,61,0,0,88,0,0,6,1,0,0,1,0,0,Weekly,0,0,0,0,Sagittarius,1,0,33.0,1.1,0
25640,35.0,O,570.0,0,0,0,0,0,78,0,0,2,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Virgo,0,0,43.0,1.4300000000000002,0
55389,41.0,na,,0,0,46,0,0,115,0,0,0,1,1,1,0,1,0,na,0,0,0,0,Leo,0,0,40.0,1.33,0
33453,22.0,O,574.0,0,0,1,0,1,131,0,1,11,1,1,1,1,0,0,Weekly,0,0,0,0,Aries,1,0,48.0,1.6,1
20404,50.0,R,586.0,20,0,110,20,0,226,0,0,18,1,1,1,1,0,0,na,0,0,0,0,Gemini,0,0,64.0,2.13,1
5509,35.0,R,513.0,3,0,121,3,0,235,0,0,43,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,40.0,1.33,0
32080,32.0,na,447.0,14,3,40,14,0,79,0,0,3,1,0,0,0,1,2,Bi-Weekly,0,0,0,0,Virgo,0,0,30.0,1.0,0
29461,29.0,na,,0,0,3,0,0,5,0,0,0,1,1,1,0,1,2,Weekly,0,0,0,0,Scorpio,1,0,2.0,0.06999999999999999,0
54936,26.0,na,553.0,0,0,106,0,0,201,0,0,7,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Aquarius,0,0,42.0,1.4,0
49248,29.0,R,548.0,1,0,46,1,0,102,0,0,15,1,1,1,1,0,0,Weekly,0,0,0,0,Leo,1,0,21.0,0.7,1
66411,24.0,R,546.0,0,0,0,0,0,31,0,0,2,1,0,0,0,1,0,Weekly,0,0,0,0,Leo,0,0,24.0,0.8,0
63576,20.0,R,,7,1,20,7,0,51,0,0,12,1,0,0,0,1,0,na,0,0,0,0,Libra,0,0,11.0,0.73,0
2970,34.0,R,442.0,0,0,71,0,0,138,0,0,4,1,1,1,0,1,0,Monthly,0,0,0,0,Scorpio,0,0,34.0,1.13,1
46825,25.0,na,573.0,0,0,0,0,0,95,0,0,7,1,0,0,1,0,2,Monthly,0,0,0,0,Aries,0,0,37.0,1.23,1
34149,32.0,R,581.0,0,0,0,0,0,50,0,0,6,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Cancer,0,0,21.0,0.7,0
50736,23.0,na,463.0,0,0,12,0,0,11,0,0,1,1,0,0,0,1,2,Bi-Weekly,0,0,0,0,Aries,0,0,12.0,0.4,1
36335,29.0,na,,0,0,4,0,0,0,0,0,0,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Gemini,0,0,1.0,1.0,0
26978,48.0,na,,0,0,0,0,0,12,0,0,0,1,0,0,0,1,2,Bi-Weekly,0,0,0,0,Virgo,1,1,14.0,0.47,0
52204,32.0,na,,0,0,0,0,1,40,0,0,0,1,1,1,1,0,0,Monthly,0,0,0,0,Libra,1,0,20.0,0.67,0
36327,30.0,na,464.0,2,0,3,2,0,7,0,0,1,1,1,1,0,1,0,Weekly,0,0,0,0,na,0,0,2.0,0.06999999999999999,1
54795,33.0,R,,20,0,21,19,0,120,0,0,20,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Gemini,0,0,25.0,0.93,1
26561,32.0,na,535.0,2,2,40,2,0,78,0,0,11,1,0,0,1,0,0,Monthly,0,0,0,0,Virgo,0,0,18.0,0.64,0
41002,36.0,na,,0,0,22,0,0,66,0,0,1,1,1,1,0,1,0,na,0,0,0,0,Taurus,0,0,15.0,0.5,0
59546,19.0,na,,0,0,3,0,0,5,0,0,0,1,0,0,0,1,0,Monthly,0,0,0,0,Cancer,0,0,4.0,0.13,0
59301,41.0,na,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Monthly,0,0,0,0,Sagittarius,0,0,,0.0,0
27674,66.0,na,,0,0,4,0,0,0,0,0,0,1,1,1,1,0,0,Monthly,0,0,0,0,Virgo,0,0,1.0,0.03,0
35520,44.0,R,577.0,25,3,15,25,1,162,0,0,36,1,1,1,1,0,2,Bi-Weekly,0,0,0,0,Libra,0,0,32.0,1.0699999999999998,1
52303,31.0,R,586.0,0,0,30,0,0,68,0,0,8,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,17.0,0.5700000000000001,1
31495,59.0,na,,3,0,18,3,0,18,0,0,7,1,0,0,0,1,0,Weekly,0,0,0,0,na,0,0,3.0,0.75,1
35887,33.0,na,462.0,0,0,17,0,0,96,0,0,4,1,0,0,1,0,0,Weekly,0,0,0,0,Libra,0,0,31.0,1.03,0
18703,47.0,na,506.0,0,0,80,0,0,123,0,0,8,1,1,1,0,1,2,na,0,0,0,0,Virgo,0,0,52.0,1.73,1
24598,26.0,na,599.0,0,0,15,0,0,23,0,0,3,1,0,0,0,1,0,Bi-Weekly,0,0,0,0,Sagittarius,0,0,10.0,0.33,0
8802,22.0,na,552.0,0,0,0,0,0,39,0,0,1,1,0,0,0,1,0,Weekly,0,0,0,0,Leo,0,0,15.0,0.5,0
60579,20.0,na,,0,0,0,0,0,4,0,0,0,1,1,1,0,1,0,Bi-Weekly,0,0,0,0,Cancer,1,0,,0.0,0
25837,33.0,R,599.0,0,0,0,0,0,253,0,0,11,1,1,1,0,1,2,Semi-Monthly,0,0,0,0,Leo,1,1,65.0,2.17,0
12254,25.0,na,520.0,0,0,83,0,0,184,0,0,13,1,1,1,0,1,0,Weekly,0,0,0,0,Cancer,0,0,38.0,1.27,1
14512,44.0,R,493.0,2,0,49,2,0,119,0,0,11,1,0,0,1,0,0,Bi-Weekly,0,0,0,0,Leo,0,0,19.0,0.63,1
63861,24.0,na,,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,Weekly,0,0,0,0,Taurus,0,0,,0.0,0
67910,37.0,na,553.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,na,0,0,0,0,Libra,0,0,,0.0,0
58688,42.0,na,,0,0,5,0,0,10,0,0,2,1,0,0,1,0,0,Monthly,0,0,0,0,na,0,0,3.0,0.1,0
43601,21.0,R,547.0,5,0,113,5,0,222,0,0,11,1,0,0,0,1,0,na,0,1,0,0,Leo,0,0,54.0,1.8,1
34433,33.0,O,516.0,0,0,0,0,0,12,0,0,6,1,0,0,0,1,0,Weekly,0,0,0,0,Aquarius,0,0,12.0,0.4,0
20470,28.0,R,512.0,36,8,88,36,0,214,0,0,13,1,1,1,1,0,0,na,0,0,0,0,Aquarius,0,0,51.0,1.7,0
58399,35.0,R,526.0,38,1,53,36,0,176,0,0,24,1,1,1,1,0,0,Monthly,0,0,0,0,Libra,0,0,38.0,1.27,1
52971,53.0,na,451.0,7,0,27,5,0,118,0,0,12,1,1,1,1,0,0,Bi-Weekly,0,0,0,0,Pisces,0,0,43.0,1.4300000000000002,1
